time,t_air_c,u10_ms,v10_ms,u100_ms,v100_ms,ghi_wm2
2024-01-02 02:00:00+00:00,-4.44,3.768,7.992,5.446,11.552,0.0
2024-01-02 03:00:00+00:00,-3.12,7.755,4.219,11.209,6.098,0.0
2024-01-02 04:00:00+00:00,-4.1,7.566,-0.967,10.936,-1.397,0.0
2024-01-02 05:00:00+00:00,-6.41,5.609,-4.526,8.107,-6.542,0.0
2024-01-02 06:00:00+00:00,-7.17,2.948,-6.436,4.261,-9.303,0.0
2024-01-02 07:00:00+00:00,-8.07,-0.179,-5.959,-0.259,-8.614,0.0
2024-01-02 08:00:00+00:00,-9.39,-2.853,-6.518,-4.124,-9.422,0.0
2024-01-02 09:00:00+00:00,-8.45,-4.889,-4.678,-7.067,-6.761,0.0
2024-01-02 10:00:00+00:00,-13.53,-5.702,-2.339,-8.242,-3.381,7.6
2024-01-02 11:00:00+00:00,-15.86,-6.374,-0.513,-9.214,-0.741,35.3
2024-01-02 12:00:00+00:00,-17.49,-5.714,1.347,-8.259,1.946,46.1
2024-01-02 13:00:00+00:00,-19.08,-3.927,2.555,-5.676,3.693,29.2
2024-01-02 14:00:00+00:00,-18.38,-3.778,4.316,-5.461,6.239,6.3
2024-01-02 15:00:00+00:00,-17.32,-2.503,5.634,-3.618,8.143,0.0
2024-01-02 16:00:00+00:00,-17.59,-0.51,7.414,-0.737,10.717,0.0
2024-01-02 17:00:00+00:00,-16.22,1.504,6.168,2.174,8.915,0.0
2024-01-02 18:00:00+00:00,-15.41,3.304,5.456,4.776,7.887,0.0
2024-01-02 19:00:00+00:00,-14.73,5.107,4.483,7.382,6.479,0.0
2024-01-02 20:00:00+00:00,-12.09,5.783,3.225,8.36,4.662,0.0
2024-01-02 21:00:00+00:00,-12.93,4.974,1.014,7.19,1.466,0.0
2024-01-02 22:00:00+00:00,-12.53,5.713,-0.319,8.258,-0.461,0.0
2024-01-02 23:00:00+00:00,-12.54,6.039,-2.116,8.729,-3.058,0.0
2024-01-03 00:00:00+00:00,-12.45,5.879,-4.0,8.498,-5.782,0.0
2024-01-03 01:00:00+00:00,-8.31,4.169,-4.301,6.026,-6.216,0.0
2024-01-03 02:00:00+00:00,-9.61,2.452,-3.832,3.544,-5.538,0.0
2024-01-03 03:00:00+00:00,-10.97,1.374,-3.391,1.987,-4.901,0.0
2024-01-03 04:00:00+00:00,-12.53,0.872,-3.693,1.261,-5.338,0.0
2024-01-03 05:00:00+00:00,-13.73,0.564,-3.418,0.816,-4.941,0.0
2024-01-03 06:00:00+00:00,-11.37,0.535,-4.074,0.773,-5.889,0.0
2024-01-03 07:00:00+00:00,-10.6,0.818,-3.651,1.182,-5.278,0.0
2024-01-03 08:00:00+00:00,-11.86,1.173,-3.552,1.696,-5.135,0.0
2024-01-03 09:00:00+00:00,-13.02,1.357,-2.907,1.962,-4.202,0.0
2024-01-03 10:00:00+00:00,-13.38,1.948,-4.303,2.816,-6.22,3.8
2024-01-03 11:00:00+00:00,-14.11,1.644,-3.497,2.377,-5.054,13.6
2024-01-03 12:00:00+00:00,-14.5,1.48,-2.964,2.139,-4.284,16.7
2024-01-03 13:00:00+00:00,-15.81,1.525,-2.81,2.204,-4.061,19.9
2024-01-03 14:00:00+00:00,-15.2,2.0,-2.79,2.891,-4.033,9.9
2024-01-03 15:00:00+00:00,-16.92,2.808,-3.101,4.059,-4.483,0.0
2024-01-03 16:00:00+00:00,-15.92,2.852,-2.373,4.122,-3.431,0.0
2024-01-03 17:00:00+00:00,-14.13,3.827,-2.206,5.531,-3.189,0.0
2024-01-03 18:00:00+00:00,-15.12,4.887,-1.26,7.065,-1.822,0.0
2024-01-03 19:00:00+00:00,-14.75,5.58,0.159,8.065,0.23,0.0
2024-01-03 20:00:00+00:00,-12.01,4.433,1.245,6.408,1.799,0.0
2024-01-03 21:00:00+00:00,-11.94,4.788,2.765,6.92,3.996,0.0
2024-01-03 22:00:00+00:00,-11.75,4.036,3.302,5.834,4.773,0.0
2024-01-03 23:00:00+00:00,-12.02,3.734,4.786,5.397,6.918,0.0
2024-01-04 00:00:00+00:00,-8.83,2.491,6.501,3.601,9.397,0.0
2024-01-04 01:00:00+00:00,-9.02,1.281,8.009,1.851,11.576,0.0
2024-01-04 02:00:00+00:00,-9.66,-0.292,5.801,-0.422,8.386,0.0
2024-01-04 03:00:00+00:00,-9.31,-0.863,5.144,-1.247,7.435,0.0
2024-01-04 04:00:00+00:00,-5.2,-1.325,5.282,-1.915,7.635,0.0
2024-01-04 05:00:00+00:00,-9.39,-1.916,6.021,-2.769,8.703,0.0
2024-01-04 06:00:00+00:00,-10.38,-1.991,4.874,-2.878,7.044,0.0
2024-01-04 07:00:00+00:00,-10.53,-2.553,4.911,-3.69,7.098,0.0
2024-01-04 08:00:00+00:00,-12.16,-1.808,3.606,-2.614,5.212,0.0
2024-01-04 09:00:00+00:00,-13.61,-1.679,4.031,-2.427,5.826,0.0
2024-01-04 10:00:00+00:00,-12.58,-1.516,5.046,-2.191,7.293,12.8
2024-01-04 11:00:00+00:00,-12.99,-1.799,5.495,-2.601,7.943,42.6
2024-01-04 12:00:00+00:00,-9.44,-1.651,5.459,-2.387,7.89,46.7
2024-01-04 13:00:00+00:00,-6.13,-2.166,7.126,-3.131,10.3,59.6
2024-01-04 14:00:00+00:00,-8.93,-1.936,6.524,-2.799,9.43,14.9
2024-01-04 15:00:00+00:00,-11.97,-1.979,7.084,-2.861,10.239,0.0
2024-01-04 16:00:00+00:00,-11.52,-1.706,7.251,-2.466,10.481,0.0
2024-01-04 17:00:00+00:00,-11.35,-1.001,6.936,-1.446,10.026,0.0
2024-01-04 18:00:00+00:00,-12.67,0.57,8.17,0.824,11.809,0.0
2024-01-04 19:00:00+00:00,-11.4,3.416,8.771,4.938,12.678,0.0
2024-01-04 20:00:00+00:00,-11.57,5.402,6.7,7.808,9.685,0.0
2024-01-04 21:00:00+00:00,-14.04,6.253,4.087,9.039,5.908,0.0
2024-01-04 22:00:00+00:00,-13.45,8.513,2.432,12.305,3.515,0.0
2024-01-04 23:00:00+00:00,-11.53,7.46,0.134,10.783,0.193,0.0
2024-01-05 00:00:00+00:00,-12.04,6.797,-1.751,9.824,-2.531,0.0
2024-01-05 01:00:00+00:00,-11.15,5.078,-2.74,7.339,-3.961,0.0
2024-01-05 02:00:00+00:00,-11.2,4.594,-4.143,6.641,-5.988,0.0
2024-01-05 03:00:00+00:00,-11.16,4.885,-5.431,7.061,-7.85,0.0
2024-01-05 04:00:00+00:00,-8.2,3.362,-5.793,4.86,-8.373,0.0
2024-01-05 05:00:00+00:00,-5.83,2.091,-6.465,3.023,-9.345,0.0
2024-01-05 06:00:00+00:00,-6.57,0.62,-10.138,0.896,-14.653,0.0
2024-01-05 07:00:00+00:00,-8.13,-1.602,-9.1,-2.316,-13.153,0.0
2024-01-05 08:00:00+00:00,-8.12,-4.01,-8.375,-5.796,-12.105,0.0
2024-01-05 09:00:00+00:00,-10.65,-7.791,-8.852,-11.261,-12.794,0.0
2024-01-05 10:00:00+00:00,-11.76,-10.076,-6.368,-14.565,-9.205,6.5
2024-01-05 11:00:00+00:00,-13.11,-12.975,-4.657,-18.755,-6.732,37.4
2024-01-05 12:00:00+00:00,-13.9,-12.299,-0.435,-17.778,-0.629,29.8
2024-01-05 13:00:00+00:00,-14.8,-12.082,1.768,-17.464,2.555,14.2
2024-01-05 14:00:00+00:00,-16.34,-9.883,3.007,-14.285,4.346,4.6
2024-01-05 15:00:00+00:00,-15.34,-7.683,3.83,-11.106,5.536,0.0
2024-01-05 16:00:00+00:00,-16.81,-6.362,4.623,-9.196,6.682,0.0
2024-01-05 17:00:00+00:00,-16.78,-4.716,5.115,-6.817,7.394,0.0
2024-01-05 18:00:00+00:00,-15.48,-3.488,5.852,-5.041,8.458,0.0
2024-01-05 19:00:00+00:00,-13.5,-2.708,6.692,-3.915,9.672,0.0
2024-01-05 20:00:00+00:00,-10.49,-1.767,5.727,-2.554,8.278,0.0
2024-01-05 21:00:00+00:00,-9.79,-1.124,5.529,-1.625,7.992,0.0
2024-01-05 22:00:00+00:00,-8.94,-0.38,5.789,-0.549,8.368,0.0
2024-01-05 23:00:00+00:00,-11.36,0.696,5.676,1.006,8.204,0.0
2024-01-06 00:00:00+00:00,-10.46,2.305,4.933,3.331,7.13,0.0
2024-01-06 01:00:00+00:00,-8.7,3.882,4.134,5.611,5.976,0.0
2024-01-06 02:00:00+00:00,-8.3,4.302,2.361,6.219,3.412,0.0
2024-01-06 03:00:00+00:00,-8.87,4.908,0.634,7.094,0.916,0.0
2024-01-06 04:00:00+00:00,-7.74,4.299,-1.181,6.214,-1.708,0.0
2024-01-06 05:00:00+00:00,-8.06,3.254,-2.724,4.703,-3.938,0.0
2024-01-06 06:00:00+00:00,-7.6,1.582,-3.515,2.287,-5.081,0.0
2024-01-06 07:00:00+00:00,-7.83,-0.047,-3.822,-0.067,-5.524,0.0
2024-01-06 08:00:00+00:00,-10.88,-2.216,-3.849,-3.204,-5.564,0.0
2024-01-06 09:00:00+00:00,-10.51,-4.305,-2.503,-6.222,-3.618,0.0
2024-01-06 10:00:00+00:00,-8.22,-6.613,0.183,-9.559,0.264,19.6
2024-01-06 11:00:00+00:00,-8.31,-4.57,3.524,-6.606,5.094,66.7
2024-01-06 12:00:00+00:00,-9.1,-2.575,7.512,-3.722,10.858,44.8
2024-01-06 13:00:00+00:00,-9.98,1.845,6.794,2.667,9.82,31.2
2024-01-06 14:00:00+00:00,-11.69,5.545,4.91,8.015,7.097,5.2
2024-01-06 15:00:00+00:00,-9.32,7.005,1.349,10.125,1.951,0.0
2024-01-06 16:00:00+00:00,-10.58,4.434,-2.014,6.408,-2.91,0.0
2024-01-06 17:00:00+00:00,-10.83,2.512,-4.452,3.631,-6.435,0.0
2024-01-06 18:00:00+00:00,-14.03,-0.195,-3.928,-0.282,-5.678,0.0
2024-01-06 19:00:00+00:00,-13.88,-2.128,-3.156,-3.075,-4.562,0.0
2024-01-06 20:00:00+00:00,-12.07,-2.992,-1.41,-4.324,-2.038,0.0
2024-01-06 21:00:00+00:00,-12.42,-2.529,0.327,-3.656,0.473,0.0
2024-01-06 22:00:00+00:00,-13.97,-2.122,1.676,-3.067,2.423,0.0
2024-01-06 23:00:00+00:00,-14.07,-1.146,2.959,-1.657,4.277,0.0
2024-01-07 00:00:00+00:00,-13.54,0.514,3.226,0.744,4.664,0.0
2024-01-07 01:00:00+00:00,-12.53,2.201,2.479,3.181,3.583,0.0
2024-01-07 02:00:00+00:00,-13.07,3.43,0.644,4.958,0.931,0.0
2024-01-07 03:00:00+00:00,-13.02,3.235,-1.395,4.676,-2.016,0.0
2024-01-07 04:00:00+00:00,-13.14,1.585,-2.365,2.291,-3.419,0.0
2024-01-07 05:00:00+00:00,-14.32,0.175,-3.321,0.253,-4.801,0.0
2024-01-07 06:00:00+00:00,-15.91,-1.611,-2.788,-2.329,-4.029,0.0
2024-01-07 07:00:00+00:00,-17.67,-2.85,-1.752,-4.119,-2.532,0.0
2024-01-07 08:00:00+00:00,-16.4,-4.204,-0.63,-6.076,-0.911,0.0
2024-01-07 09:00:00+00:00,-16.38,-5.049,1.042,-7.298,1.506,0.0
2024-01-07 10:00:00+00:00,-17.0,-3.919,2.246,-5.665,3.246,5.4
2024-01-07 11:00:00+00:00,-17.69,-2.057,2.303,-2.974,3.329,15.1
2024-01-07 12:00:00+00:00,-18.29,-1.108,2.902,-1.602,4.195,40.2
2024-01-07 13:00:00+00:00,-17.51,0.214,3.133,0.309,4.529,41.5
2024-01-07 14:00:00+00:00,-14.28,1.526,3.031,2.206,4.382,16.5
2024-01-07 15:00:00+00:00,-18.01,2.866,2.549,4.142,3.684,0.0
2024-01-07 16:00:00+00:00,-19.11,3.599,1.152,5.202,1.665,0.0
2024-01-07 17:00:00+00:00,-17.82,4.304,-0.416,6.221,-0.601,0.0
2024-01-07 18:00:00+00:00,-14.03,3.876,-2.422,5.603,-3.5,0.0
2024-01-07 19:00:00+00:00,-14.2,1.885,-3.664,2.725,-5.296,0.0
2024-01-07 20:00:00+00:00,-10.26,0.069,-4.621,0.1,-6.679,0.0
2024-01-07 21:00:00+00:00,-10.64,-2.167,-4.459,-3.133,-6.446,0.0
2024-01-07 22:00:00+00:00,-12.34,-3.868,-3.31,-5.59,-4.784,0.0
2024-01-07 23:00:00+00:00,-11.27,-4.539,-0.71,-6.561,-1.026,0.0
2024-01-08 00:00:00+00:00,-11.34,-3.781,1.414,-5.465,2.043,0.0
2024-01-08 01:00:00+00:00,-10.48,-2.158,2.598,-3.12,3.755,0.0
2024-01-08 02:00:00+00:00,-8.4,-0.444,3.46,-0.642,5.001,0.0
2024-01-08 03:00:00+00:00,-8.48,2.01,3.609,2.906,5.216,0.0
2024-01-08 04:00:00+00:00,-10.67,3.358,1.383,4.854,1.998,0.0
2024-01-08 05:00:00+00:00,-11.5,3.167,-0.899,4.577,-1.299,0.0
2024-01-08 06:00:00+00:00,-13.38,2.244,-2.714,3.243,-3.922,0.0
2024-01-08 07:00:00+00:00,-14.5,0.595,-4.079,0.86,-5.896,0.0
2024-01-08 08:00:00+00:00,-13.01,-1.403,-3.334,-2.028,-4.82,0.0
2024-01-08 09:00:00+00:00,-10.81,-3.516,-2.455,-5.082,-3.548,0.0
2024-01-08 10:00:00+00:00,-12.65,-4.121,-0.184,-5.957,-0.265,26.9
2024-01-08 11:00:00+00:00,-11.19,-3.877,2.08,-5.604,3.007,71.0
2024-01-08 12:00:00+00:00,-13.76,-1.748,3.203,-2.526,4.63,86.0
2024-01-08 13:00:00+00:00,-13.81,0.29,4.238,0.419,6.125,71.0
2024-01-08 14:00:00+00:00,-11.99,2.013,2.454,2.909,3.547,19.3
2024-01-08 15:00:00+00:00,-11.87,3.244,1.257,4.688,1.817,0.0
2024-01-08 16:00:00+00:00,-12.12,3.281,-0.735,4.743,-1.063,0.0
2024-01-08 17:00:00+00:00,-11.18,2.318,-2.143,3.351,-3.098,0.0
2024-01-08 18:00:00+00:00,-11.21,0.751,-2.571,1.085,-3.716,0.0
2024-01-08 19:00:00+00:00,-12.37,-0.899,-3.101,-1.299,-4.482,0.0
2024-01-08 20:00:00+00:00,-10.66,-2.569,-2.098,-3.713,-3.033,0.0
2024-01-08 21:00:00+00:00,-10.2,-3.167,-0.287,-4.578,-0.415,0.0
2024-01-08 22:00:00+00:00,-9.55,-2.584,1.305,-3.735,1.886,0.0
2024-01-08 23:00:00+00:00,-10.75,-1.766,3.037,-2.552,4.39,0.0
2024-01-09 00:00:00+00:00,-8.27,0.464,4.485,0.671,6.483,0.0
2024-01-09 01:00:00+00:00,-9.35,3.23,3.064,4.668,4.429,0.0
2024-01-09 02:00:00+00:00,-12.38,4.936,0.314,7.135,0.454,0.0
2024-01-09 03:00:00+00:00,-10.36,3.308,-2.533,4.781,-3.661,0.0
2024-01-09 04:00:00+00:00,-12.36,1.003,-3.644,1.45,-5.267,0.0
2024-01-09 05:00:00+00:00,-12.74,-1.817,-4.387,-2.627,-6.341,0.0
2024-01-09 06:00:00+00:00,-17.11,-5.53,-2.98,-7.993,-4.308,0.0
2024-01-09 07:00:00+00:00,-17.37,-5.309,1.107,-7.674,1.599,0.0
2024-01-09 08:00:00+00:00,-18.78,-2.91,4.285,-4.206,6.194,0.0
2024-01-09 09:00:00+00:00,-17.68,0.861,5.477,1.245,7.917,0.0
2024-01-09 10:00:00+00:00,-17.82,4.085,3.973,5.905,5.743,11.7
2024-01-09 11:00:00+00:00,-17.72,4.645,0.53,6.714,0.766,16.1
2024-01-09 12:00:00+00:00,-20.12,4.061,-2.234,5.87,-3.229,19.4
2024-01-09 13:00:00+00:00,-19.27,1.868,-4.499,2.701,-6.504,16.1
2024-01-09 14:00:00+00:00,-17.71,-1.996,-6.143,-2.885,-8.879,20.7
2024-01-09 15:00:00+00:00,-16.29,-5.769,-3.456,-8.339,-4.995,0.0
2024-01-09 16:00:00+00:00,-14.68,-5.69,1.455,-8.224,2.103,0.0
2024-01-09 17:00:00+00:00,-14.24,-3.273,5.956,-4.731,8.609,0.0
2024-01-09 18:00:00+00:00,-12.54,2.492,7.932,3.602,11.465,0.0
2024-01-09 19:00:00+00:00,-10.76,6.862,2.971,9.919,4.294,0.0
2024-01-09 20:00:00+00:00,-10.57,6.841,-2.955,9.888,-4.271,0.0
2024-01-09 21:00:00+00:00,-9.34,2.241,-7.245,3.239,-10.472,0.0
2024-01-09 22:00:00+00:00,-9.39,-3.526,-6.081,-5.096,-8.79,0.0
2024-01-09 23:00:00+00:00,-9.65,-6.657,-1.018,-9.623,-1.472,0.0
2024-01-10 00:00:00+00:00,-7.57,-4.647,4.115,-6.717,5.947,0.0
2024-01-10 01:00:00+00:00,-6.18,0.315,5.828,0.455,8.424,0.0
2024-01-10 02:00:00+00:00,-6.3,6.284,4.337,9.084,6.269,0.0
2024-01-10 03:00:00+00:00,-6.97,8.053,-2.973,11.64,-4.298,0.0
2024-01-10 04:00:00+00:00,-7.52,3.65,-9.3,5.276,-13.443,0.0
2024-01-10 05:00:00+00:00,-11.41,-3.399,-9.062,-4.914,-13.099,0.0
2024-01-10 06:00:00+00:00,-11.11,-7.01,-4.187,-10.133,-6.052,0.0
2024-01-10 07:00:00+00:00,-10.08,-7.014,0.684,-10.138,0.988,0.0
2024-01-10 08:00:00+00:00,-7.79,-4.909,4.378,-7.095,6.328,0.0
2024-01-10 09:00:00+00:00,-9.06,-1.337,6.072,-1.933,8.777,0.0
2024-01-10 10:00:00+00:00,-11.75,2.675,6.644,3.867,9.604,7.0
2024-01-10 11:00:00+00:00,-10.45,4.905,3.203,7.09,4.63,16.7
2024-01-10 12:00:00+00:00,-10.3,5.299,-0.158,7.66,-0.228,37.9
2024-01-10 13:00:00+00:00,-8.27,3.698,-2.779,5.345,-4.017,16.7
2024-01-10 14:00:00+00:00,-9.34,1.73,-4.846,2.5,-7.004,7.0
2024-01-10 15:00:00+00:00,-9.86,-0.972,-5.828,-1.404,-8.424,0.0
2024-01-10 16:00:00+00:00,-13.27,-2.998,-4.193,-4.333,-6.061,0.0
2024-01-10 17:00:00+00:00,-14.44,-6.518,-2.648,-9.421,-3.827,0.0
2024-01-10 18:00:00+00:00,-15.29,-8.1,1.273,-11.708,1.839,0.0
2024-01-10 19:00:00+00:00,-14.86,-6.741,5.171,-9.744,7.475,0.0
2024-01-10 20:00:00+00:00,-12.02,-2.631,6.502,-3.804,9.398,0.0
2024-01-10 21:00:00+00:00,-8.81,0.798,6.765,1.153,9.779,0.0
2024-01-10 22:00:00+00:00,-5.77,4.333,5.96,6.263,8.614,0.0
2024-01-10 23:00:00+00:00,-5.32,7.358,3.772,10.635,5.453,0.0
2024-01-11 00:00:00+00:00,-2.27,11.352,-1.071,16.409,-1.548,0.0
2024-01-11 01:00:00+00:00,-3.14,8.363,-6.006,12.088,-8.681,0.0
2024-01-11 02:00:00+00:00,-3.51,3.117,-7.5,4.506,-10.841,0.0
2024-01-11 03:00:00+00:00,-7.23,-1.259,-6.585,-1.82,-9.518,0.0
2024-01-11 04:00:00+00:00,-9.44,-4.739,-5.074,-6.85,-7.334,0.0
2024-01-11 05:00:00+00:00,-12.38,-6.92,-2.15,-10.002,-3.108,0.0
2024-01-11 06:00:00+00:00,-12.21,-6.815,0.935,-9.851,1.352,0.0
2024-01-11 07:00:00+00:00,-9.88,-5.418,3.672,-7.832,5.307,0.0
2024-01-11 08:00:00+00:00,-9.7,-2.411,4.149,-3.485,5.997,0.0
2024-01-11 09:00:00+00:00,-6.97,0.043,4.435,0.062,6.41,0.0
2024-01-11 10:00:00+00:00,-6.82,1.788,3.396,2.585,4.909,16.1
2024-01-11 11:00:00+00:00,-5.2,3.381,2.687,4.887,3.884,42.4
2024-01-11 12:00:00+00:00,-6.41,3.994,0.812,5.773,1.174,93.4
2024-01-11 13:00:00+00:00,-8.76,4.13,-1.134,5.97,-1.64,78.3
2024-01-11 14:00:00+00:00,-12.74,4.026,-2.997,5.82,-4.332,34.1
2024-01-11 15:00:00+00:00,-12.24,2.116,-3.315,3.058,-4.792,0.0
2024-01-11 16:00:00+00:00,-10.42,1.077,-5.039,1.556,-7.284,0.0
2024-01-11 17:00:00+00:00,-8.49,-0.868,-5.283,-1.255,-7.637,0.0
2024-01-11 18:00:00+00:00,-6.61,-3.041,-4.747,-4.395,-6.862,0.0
2024-01-11 19:00:00+00:00,-4.54,-4.774,-3.676,-6.9,-5.313,0.0
2024-01-11 20:00:00+00:00,-7.49,-6.768,-2.161,-9.783,-3.123,0.0
2024-01-11 21:00:00+00:00,-8.01,-7.448,0.553,-10.766,0.8,0.0
2024-01-11 22:00:00+00:00,-8.79,-7.569,3.736,-10.94,5.4,0.0
2024-01-11 23:00:00+00:00,-5.42,-3.831,4.588,-5.538,6.632,0.0
2024-01-12 00:00:00+00:00,-5.65,-1.886,4.123,-2.726,5.959,0.0
2024-01-12 01:00:00+00:00,-8.04,-0.454,3.863,-0.656,5.583,0.0
2024-01-12 02:00:00+00:00,-7.3,0.429,2.98,0.62,4.307,0.0
2024-01-12 03:00:00+00:00,-6.78,1.205,3.309,1.741,4.783,0.0
2024-01-12 04:00:00+00:00,-8.84,1.586,2.858,2.292,4.131,0.0
2024-01-12 05:00:00+00:00,-11.48,2.079,2.767,3.005,3.999,0.0
2024-01-12 06:00:00+00:00,-13.69,2.446,2.322,3.536,3.356,0.0
2024-01-12 07:00:00+00:00,-12.28,3.038,2.282,4.391,3.298,0.0
2024-01-12 08:00:00+00:00,-12.4,3.698,2.264,5.346,3.273,0.0
2024-01-12 09:00:00+00:00,-13.74,3.508,1.741,5.071,2.516,0.0
2024-01-12 10:00:00+00:00,-13.03,4.04,1.56,5.839,2.254,22.8
2024-01-12 11:00:00+00:00,-9.87,4.605,1.242,6.656,1.795,69.5
2024-01-12 12:00:00+00:00,-7.92,4.418,0.732,6.387,1.059,51.9
2024-01-12 13:00:00+00:00,-8.46,3.865,0.419,5.586,0.606,30.4
2024-01-12 14:00:00+00:00,-12.87,4.031,0.345,5.826,0.498,15.2
2024-01-12 15:00:00+00:00,-13.44,4.622,0.288,6.681,0.416,0.0
2024-01-12 16:00:00+00:00,-13.9,4.066,0.026,5.878,0.038,0.0
2024-01-12 17:00:00+00:00,-13.86,3.505,-0.225,5.066,-0.325,0.0
2024-01-12 18:00:00+00:00,-12.13,3.52,-0.435,5.088,-0.629,0.0
2024-01-12 19:00:00+00:00,-12.52,3.361,-0.676,4.858,-0.977,0.0
2024-01-12 20:00:00+00:00,-11.56,3.64,-1.333,5.262,-1.926,0.0
2024-01-12 21:00:00+00:00,-11.57,3.255,-1.865,4.705,-2.696,0.0
2024-01-12 22:00:00+00:00,-11.14,2.715,-2.459,3.924,-3.554,0.0
2024-01-12 23:00:00+00:00,-10.01,2.084,-3.013,3.013,-4.356,0.0
2024-01-13 00:00:00+00:00,-10.51,1.14,-2.78,1.648,-4.018,0.0
2024-01-13 01:00:00+00:00,-9.97,0.661,-2.916,0.955,-4.215,0.0
2024-01-13 02:00:00+00:00,-11.03,0.442,-4.265,0.639,-6.165,0.0
2024-01-13 03:00:00+00:00,-11.03,-0.07,-4.405,-0.101,-6.366,0.0
2024-01-13 04:00:00+00:00,-8.63,-0.343,-5.244,-0.495,-7.579,0.0
2024-01-13 05:00:00+00:00,-10.68,-0.526,-4.678,-0.761,-6.762,0.0
2024-01-13 06:00:00+00:00,-10.41,-1.103,-4.856,-1.595,-7.019,0.0
2024-01-13 07:00:00+00:00,-9.39,-2.314,-5.205,-3.345,-7.524,0.0
2024-01-13 08:00:00+00:00,-9.87,-2.586,-3.69,-3.738,-5.333,0.0
2024-01-13 09:00:00+00:00,-10.49,-3.812,-3.471,-5.509,-5.017,0.0
2024-01-13 10:00:00+00:00,-10.69,-4.204,-2.204,-6.076,-3.186,39.5
2024-01-13 11:00:00+00:00,-10.88,-5.229,-1.34,-7.558,-1.937,83.8
2024-01-13 12:00:00+00:00,-10.87,-5.615,-0.303,-8.116,-0.437,98.9
2024-01-13 13:00:00+00:00,-13.39,-6.511,0.257,-9.411,0.372,83.8
2024-01-13 14:00:00+00:00,-12.78,-5.255,0.778,-7.596,1.124,39.5
2024-01-13 15:00:00+00:00,-13.61,-5.173,1.343,-7.477,1.942,0.0
2024-01-13 16:00:00+00:00,-16.57,-4.222,1.829,-6.103,2.643,0.0
2024-01-13 17:00:00+00:00,-17.59,-3.493,2.051,-5.049,2.965,0.0
2024-01-13 18:00:00+00:00,-14.6,-3.357,2.405,-4.852,3.477,0.0
2024-01-13 19:00:00+00:00,-11.79,-3.034,2.907,-4.385,4.202,0.0
2024-01-13 20:00:00+00:00,-11.73,-2.37,3.148,-3.426,4.55,0.0
2024-01-13 21:00:00+00:00,-10.76,-2.146,3.591,-3.102,5.191,0.0
2024-01-13 22:00:00+00:00,-9.56,-1.498,3.655,-2.166,5.283,0.0
2024-01-13 23:00:00+00:00,-8.52,-0.76,3.209,-1.098,4.639,0.0
2024-01-14 00:00:00+00:00,-4.3,-0.422,3.242,-0.61,4.686,0.0
2024-01-14 01:00:00+00:00,-8.12,-0.004,2.265,-0.005,3.274,0.0
2024-01-14 02:00:00+00:00,-7.99,0.132,2.645,0.19,3.823,0.0
2024-01-14 03:00:00+00:00,-8.44,0.316,2.497,0.457,3.61,0.0
2024-01-14 04:00:00+00:00,-10.93,0.694,2.673,1.003,3.863,0.0
