time,p_sub_a_mw,q_sub_a_mvar,p_sub_b_mw,q_sub_b_mvar,p_agg_mw,q_agg_mvar,q_shunt_a_mvar
2024-01-01 22:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 22:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 22:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 22:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 23:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 23:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-01 23:30:00+00:00,20.7553,5.8115,9.5,2.755,34.0,7.48,3.0
2024-01-01 23:45:00+00:00,20.1041,5.6292,7.8954,2.2897,32.6962,7.1932,3.0
2024-01-02 00:00:00+00:00,19.0712,5.3399,8.5093,2.4677,29.8891,6.5756,3.0
2024-01-02 00:15:00+00:00,19.0454,5.3327,8.541,2.4769,28.5538,6.2818,3.0
2024-01-02 00:30:00+00:00,16.3539,4.5791,8.1543,2.3647,30.2395,6.6527,3.0
2024-01-02 00:45:00+00:00,16.2062,4.5377,7.5009,2.1753,27.7755,6.1106,3.0
2024-01-02 01:00:00+00:00,15.8012,4.4243,7.4685,2.1659,25.3401,5.5748,3.0
2024-01-02 01:15:00+00:00,15.6173,4.3729,6.9352,2.0112,25.2524,5.5555,3.0
2024-01-02 01:30:00+00:00,15.7165,4.4006,6.7704,1.9634,23.6009,5.1922,3.0
2024-01-02 01:45:00+00:00,15.4588,4.3285,6.9494,2.0153,24.2554,5.3362,3.0
2024-01-02 02:00:00+00:00,14.3993,4.0318,6.3849,1.8516,23.3476,5.1365,0.0
2024-01-02 02:15:00+00:00,14.8822,4.167,6.3043,1.8282,22.286,4.9029,0.0
2024-01-02 02:30:00+00:00,14.0667,3.9387,6.2329,1.8075,21.3063,4.6874,0.0
2024-01-02 02:45:00+00:00,13.963,3.9096,5.9881,1.7366,23.087,5.0791,0.0
2024-01-02 03:00:00+00:00,13.7256,3.8432,6.5837,1.9093,21.8565,4.8084,0.0
2024-01-02 03:15:00+00:00,14.5589,4.0765,6.1867,1.7941,22.7429,5.0034,0.0
2024-01-02 03:30:00+00:00,14.151,3.9623,6.1919,1.7957,22.126,4.8677,0.0
2024-01-02 03:45:00+00:00,14.1536,3.963,6.627,1.9218,23.6508,5.2032,0.0
2024-01-02 04:00:00+00:00,14.0901,3.9452,6.6516,1.929,23.0938,5.0806,0.0
2024-01-02 04:15:00+00:00,15.3701,4.3036,6.853,1.9874,24.955,5.4901,3.0
2024-01-02 04:30:00+00:00,17.2389,4.8269,7.4336,2.1557,24.9003,5.4781,3.0
2024-01-02 04:45:00+00:00,16.6388,4.6589,8.1285,2.3573,26.57,5.8454,3.0
2024-01-02 05:00:00+00:00,17.2501,4.83,8.1311,2.358,28.5176,6.2739,3.0
2024-01-02 05:15:00+00:00,19.0856,5.344,8.7444,2.5359,29.5102,6.4922,3.0
2024-01-02 05:30:00+00:00,19.146,5.3609,8.1576,2.3657,30.8022,6.7765,3.0
2024-01-02 05:45:00+00:00,20.4802,5.7344,9.089,2.6358,30.7138,6.757,3.0
2024-01-02 06:00:00+00:00,20.3207,5.6898,9.5,2.755,32.8034,7.2167,3.0
2024-01-02 06:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 06:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 06:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 07:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 07:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 07:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 07:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 08:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 08:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 08:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 08:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 09:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 09:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 09:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 09:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 10:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 10:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 10:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 10:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 11:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 11:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 11:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 11:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 12:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 12:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 12:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 12:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 13:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 13:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 13:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 13:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 14:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 14:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 14:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 14:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 15:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 15:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 15:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 15:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 16:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 16:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 16:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 16:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 17:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 17:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 17:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 17:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 18:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 18:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 18:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 18:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 19:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 19:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 19:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 19:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 20:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 20:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 20:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 20:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 21:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 21:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 21:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 21:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 22:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 22:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 22:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 22:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 23:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 23:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 23:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-02 23:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 00:00:00+00:00,21.0,5.88,9.368,2.7167,32.7757,7.2107,3.0
2024-01-03 00:15:00+00:00,21.0,5.88,8.8393,2.5634,31.7868,6.9931,3.0
2024-01-03 00:30:00+00:00,19.4629,5.4496,8.2427,2.3904,31.7803,6.9917,3.0
2024-01-03 00:45:00+00:00,18.6583,5.2243,7.9767,2.3132,29.1275,6.4081,3.0
2024-01-03 01:00:00+00:00,16.6496,4.6619,7.5637,2.1935,27.3811,6.0238,3.0
2024-01-03 01:15:00+00:00,16.685,4.6718,7.6082,2.2064,28.33,6.2326,3.0
2024-01-03 01:30:00+00:00,17.05,4.774,7.1679,2.0787,26.327,5.7919,3.0
2024-01-03 01:45:00+00:00,16.0288,4.4881,7.0159,2.0346,27.3292,6.0124,3.0
2024-01-03 02:00:00+00:00,16.8986,4.7316,7.05,2.0445,25.2696,5.5593,3.0
2024-01-03 02:15:00+00:00,16.9366,4.7422,6.7184,1.9483,25.3947,5.5868,3.0
2024-01-03 02:30:00+00:00,16.0675,4.4989,7.5661,2.1942,25.1921,5.5423,3.0
2024-01-03 02:45:00+00:00,15.873,4.4444,6.8523,1.9872,24.7828,5.4522,3.0
2024-01-03 03:00:00+00:00,15.309,4.2865,6.8657,1.9911,24.8572,5.4686,3.0
2024-01-03 03:15:00+00:00,16.769,4.6953,7.0744,2.0516,25.464,5.6021,3.0
2024-01-03 03:30:00+00:00,16.7718,4.6961,7.5515,2.1899,26.799,5.8958,3.0
2024-01-03 03:45:00+00:00,16.6002,4.6481,7.4627,2.1642,25.5811,5.6278,3.0
2024-01-03 04:00:00+00:00,17.5067,4.9019,7.4324,2.1554,26.8531,5.9077,3.0
2024-01-03 04:15:00+00:00,17.5586,4.9164,7.7085,2.2355,28.0591,6.173,3.0
2024-01-03 04:30:00+00:00,18.1115,5.0712,8.6311,2.503,30.2009,6.6442,3.0
2024-01-03 04:45:00+00:00,18.9921,5.3178,8.4838,2.4603,29.758,6.5468,3.0
2024-01-03 05:00:00+00:00,20.553,5.7548,9.2103,2.671,33.0673,7.2748,3.0
2024-01-03 05:15:00+00:00,20.638,5.7786,9.5,2.755,32.0829,7.0582,3.0
2024-01-03 05:30:00+00:00,20.36,5.7008,9.5,2.755,34.0,7.48,3.0
2024-01-03 05:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 06:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 06:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 06:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 06:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 07:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 07:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 07:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 07:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 08:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 08:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 08:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 08:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 09:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 09:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 09:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 09:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 10:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 10:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 10:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 10:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 11:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 11:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 11:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 11:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 12:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 12:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 12:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 12:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 13:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 13:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 13:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 13:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 14:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 14:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 14:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 14:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 15:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 15:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 15:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 15:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 16:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 16:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 16:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 16:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 17:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 17:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 17:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 17:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 18:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 18:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 18:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 18:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 19:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 19:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 19:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 19:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 20:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 20:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 20:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 20:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 21:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 21:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 21:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 21:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 22:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 22:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 22:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 22:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 23:00:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 23:15:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 23:30:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-03 23:45:00+00:00,21.0,5.88,9.5,2.755,34.0,7.48,3.0
2024-01-04 00:00:00+00:00,20.0871,5.6244,9.1409,2.6509,33.1322,7.2891,3.0
2024-01-04 00:15:00+00:00,20.2736,5.6766,8.5915,2.4915,30.6664,6.7466,3.0
2024-01-04 00:30:00+00:00,18.6471,5.2212,9.0096,2.6128,31.1757,6.8587,3.0
2024-01-04 00:45:00+00:00,18.1154,5.0723,8.6811,2.5175,29.0304,6.3867,3.0
2024-01-04 01:00:00+00:00,16.2488,4.5497,8.0276,2.328,27.4237,6.0332,3.0
2024-01-04 01:15:00+00:00,17.326,4.8513,7.873,2.2832,27.2934,6.0046,3.0
2024-01-04 01:30:00+00:00,16.3114,4.5672,7.4461,2.1594,27.4915,6.0481,3.0
2024-01-04 01:45:00+00:00,16.6364,4.6582,7.8649,2.2808,26.5962,5.8512,3.0
2024-01-04 02:00:00+00:00,15.7415,4.4076,7.5191,2.1805,26.42,5.8124,3.0
2024-01-04 02:15:00+00:00,15.3832,4.3073,7.201,2.0883,25.4409,5.597,3.0
